"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Basilicata","5","24"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Calabria","8","54"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Calabria","6","7"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Calabria","76","144"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Sicilia","32","206"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Sicilia","24","193"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Sicilia","213","683"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Sardegna","463","1072"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Sardegna","3524","6036"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Sardegna","930","1601"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Bolzano","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Bolzano","23","61"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Trento","18","46"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Trento","7","28"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Francia","173","407"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Francia","41","131"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Complementari","Stranieri","Francia","44","72"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Paesi Bassi","6","6"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Paesi Bassi","12","44"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Complementari","Stranieri","Paesi Bassi","5","11"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Complementari","Stranieri","Germania","16","31"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Germania","24","160"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Germania","46","229"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Regno Unito","22","34"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Complementari","Stranieri","Regno Unito","4","4"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Irlanda","1","1"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Complementari","Stranieri","Danimarca","1","2"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Danimarca","2","2"
"2021","Città metropolitana Cagliari","3","Alberghiero","Stranieri","Grecia","21","40"
"2021","Città metropolitana Cagliari","3","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Portogallo","8","30"
